Key,Polish
TKodWaluty.BYN,RUBEL BIAŁORUSKI
TKodWaluty.BZD,DOLAR BELIZEŃSKI
TKodWaluty.CAD,DOLAR KANADYJSKI
TKodWaluty.CDF,FRANK KONGIJSKI
TKodWaluty.CHE,FRANK SZWAJCARSKI VIR EURO
TKodWaluty.CHF,FRANK SZWAJCARSKI
TKodWaluty.CHW,FRANK SZWAJCARSKI VIR FRANK
TKodWaluty.CLF,JEDNOSTKA ROZLICZENIOWA CHILIJSKA
TKodWaluty.CLP,PESO CHILIJSKIE
TKodWaluty.CNY,YUAN RENMINBI
TKodWaluty.COP,PESO KOLUMBIJSKIE
TKodWaluty.COU,UNIDAD DE VALOR REAL KOLUMBILSKIE
TKodWaluty.CRC,COLON KOSTARYKAŃSKI
TKodWaluty.CUC,PESO WYMIENIALNE
TKodWaluty.CUP,PESO KUBAŃSKIE
TKodWaluty.CVE,ESCUDO REPUBLIKI ZIELONEGO PRZYLĄDKA
TKodWaluty.CZK,KORONA CZESKA
TKodWaluty.DJF,FRANK DŻIBUTI
TKodWaluty.DKK,KORONA DUŃSKA
TKodWaluty.DOP,PESO DOMINIKAŃSKIE
TKodWaluty.DZD,DINAR ALGIERSKI
TKodWaluty.EGP,FUNT EGIPSKI
TKodWaluty.ERN,NAKFA
TKodWaluty.ETB,BIRR
TKodWaluty.EUR,EURO
TKodWaluty.FJD,DOLAR FIDŻI
TKodWaluty.FKP,FUNT FALKLANDZKI
TKodWaluty.GBP,FUNT SZTERLING
TKodWaluty.GEL,LARI
TKodWaluty.GGP,FUNT GUERNSEY
TKodWaluty.GHS,GHANA CEDI
TKodWaluty.GIP,FUNT GIBRALTARSKI
TKodWaluty.GMD,DALASI
TKodWaluty.GNF,FRANK GWINEJSKI
TKodWaluty.GTQ,QUETZAL
TKodWaluty.GYD,DOLAR GUJAŃSKI
TKodWaluty.HKD,DOLAR HONGKONGU
TKodWaluty.HNL,LEMPIRA
TKodWaluty.HRK,KUNA
TKodWaluty.HTG,GOURDE
TKodWaluty.HUF,FORINT
TKodWaluty.IDR,RUPIA INDONEZYJSKA
TKodWaluty.ILS,SZEKEL
TKodWaluty.IMP,FUNT MANX
TKodWaluty.INR,RUPIA INDYJSKA
TKodWaluty.IQD,DINAR IRACKI
TKodWaluty.IRR,RIAL IRAŃSKI
TKodWaluty.ISK,KORONA ISLANDZKA
TKodWaluty.JEP,FUNT JERSEY
TKodWaluty.JMD,DOLAR JAMAJSKI
TKodWaluty.JOD,DINAR JORDAŃSKI
TKodWaluty.JPY,JEN
TKodWaluty.KES,SZYLING KENIJSKI
TKodWaluty.KGS,SOM
TKodWaluty.KHR,RIEL
TKodWaluty.KMF,FRANK KOMORÓW
TKodWaluty.KPW,WON PÓŁNOCNO­KOREAŃSKI
TKodWaluty.KRW,WON POŁUDNIOWO­KOREAŃSKI
TKodWaluty.KWD,DINAR KUWEJCKI
TKodWaluty.KYD,DOLAR KAJMAŃSKI
TKodWaluty.KZT,TENGE
TKodWaluty.LAK,KIP
TKodWaluty.LBP,FUNT LIBAŃSKI
TKodWaluty.LKR,RUPIA LANKIJSKA
TKodWaluty.LRD,DOLAR LIBERYJSKI
TKodWaluty.LSL,LOTI
TKodWaluty.LYD,DINAR LIBIJSKI
TKodWaluty.MAD,DIRHAM MAROKAŃSKI
TKodWaluty.MDL,LEJ MOŁDAWII
TKodWaluty.MGA,ARIARY
TKodWaluty.MKD,DENAR
TKodWaluty.MMK,KYAT
TKodWaluty.MNT,TUGRIK
TKodWaluty.MOP,PATACA
TKodWaluty.MRU,OUGUIYA
TKodWaluty.MUR,RUPIA MAURITIUSU
TKodWaluty.MVR,RUPIA MALEDIWSKA
TKodWaluty.MWK,KWACHA MALAWIJSKA
TKodWaluty.MXN,PESO MEKSYKAŃSKIE
TKodWaluty.MXV,UNIDAD DE INVERSION (UDI) MEKSYKAŃSKIE
TKodWaluty.MYR,RINGGIT
TKodWaluty.MZN,METICAL
TKodWaluty.NAD,DOLAR NAMIBIJSKI
TKodWaluty.NGN,NAIRA
TKodWaluty.NIO,CORDOBA ORO
TKodWaluty.NOK,KORONA NORWESKA
TKodWaluty.NPR,RUPIA NEPALSKA
TKodWaluty.NZD,DOLAR NOWOZELANDZKI
TKodWaluty.OMR,RIAL OMAŃSKI
TKodWaluty.PAB,BALBOA
TKodWaluty.PEN,SOL
TKodWaluty.PGK,KINA
TKodWaluty.PHP,PESO FILIPIŃSKIE
TKodWaluty.PKR,RUPIA PAKISTAŃSKA
TKodWaluty.PLN,ZŁOTY
TKodWaluty.PYG,GUARANI
TKodWaluty.QAR,RIAL KATARSKI
TKodWaluty.RON,LEJ RUMUŃSKI
TKodWaluty.RSD,DINAR SERBSKI
TKodWaluty.RUB,RUBEL ROSYJSKI
TKodWaluty.RWF,FRANK RWANDYJSKI
TKodWaluty.SAR,RIAL SAUDYJSKI
TKodWaluty.SBD,DOLAR WYSP SALOMONA
TKodWaluty.SCR,RUPIA SESZELSKA
TKodWaluty.SDG,FUNT SUDAŃSKI
TKodWaluty.SEK,KORONA SZWEDZKA
TKodWaluty.SGD,DOLAR SINGAPURSKI
TKodWaluty.SHP,FUNT ŚWIĘTEJ HELENY (ŚWIĘTA HELENA I WYSPA WNIEBOWSTĄPIENIA)
TKodWaluty.SLL,LEONE
TKodWaluty.SOS,SZYLING SOMALIJSKI
TKodWaluty.SRD,DOLAR SURINAMSKI
TKodWaluty.SSP,FUNT POŁUDNIOWOSUDAŃSKI
TKodWaluty.STN,DOBRA
TKodWaluty.SVC,COLON SALWADORSKI (SV1)
TKodWaluty.SYP,FUNT SYRYJSKI
TKodWaluty.SZL,LILANGENI
TKodWaluty.THB,BAT
TKodWaluty.TJS,SOMONI
TKodWaluty.TMT,MANAT TURKMEŃSKI
TKodWaluty.TND,DINAR TUNEZYJSKI
TKodWaluty.TOP,PAANGA
TKodWaluty.TRY,LIRA TURECKA
TKodWaluty.TTD,DOLAR TRYNIDADU I TOBAGO
TKodWaluty.TWD,NOWY DOLAR TAJWAŃSKI
TKodWaluty.TZS,SZYLING TANZAŃSKI
TKodWaluty.UAH,HRYWNA
TKodWaluty.UGX,SZYLING UGANDYJSKI
TKodWaluty.USD,DOLAR AMERYKAŃSKI
TKodWaluty.USN,DOLAR AMERYKAŃSKI (NEXT DAY)
TKodWaluty.UYI,PESO EN UNIDADES INDEXADAS URUGWAJSKIE
TKodWaluty.UYU,PESO URUGWAJSKIE
TKodWaluty.UYW,PESO EN UNIDADES INDEXADAS URUGWAJSKIE
TKodWaluty.UZS,SUM
TKodWaluty.VES,BOLIWAR SOBERANO
TKodWaluty.VND,DONG
TKodWaluty.VUV,VATU
TKodWaluty.WST,TALA
TKodWaluty.XAF,FRANK CFA (BEAC)
TKodWaluty.XAG,SREBRO
TKodWaluty.XAU,ZŁOTO
TKodWaluty.XBA,BOND MARKETS UNIT EUROPEAN COMPOSITE UNIT (EURCO)
TKodWaluty.XBB,BOND MARKETS UNIT EUROPEAN MONETARY UNIT (E.M.U.-6)
TKodWaluty.XBC,BOND MARKETS UNIT EUROPEAN UNIT OF ACCOUNT 9 (E.U.A.-9)
TKodWaluty.XBD,BOND MARKETS UNIT EUROPEAN UNIT OF ACCOUNT 17 (E.U.A.-17)
TKodWaluty.XCD,DOLAR WSCHODNIO­KARAIBSKI
TKodWaluty.XDR,SDR MIĘDZYNARODOWY FUNDUSZ WALUTOWY
TKodWaluty.XOF,FRANK CFA (BCEAO)
TKodWaluty.XPD,PALLAD
TKodWaluty.XPF,FRANK CFP
TKodWaluty.XPT,PLATYNA
TKodWaluty.XSU,SUCRE SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS SUCRE
TKodWaluty.XUA,ADB UNIT OF ACCOUNT MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP
TKodWaluty.XXX,BRAK WALUTY
TKodWaluty.YER,RIAL JEMEŃSKI
TKodWaluty.ZAR,RAND
TKodWaluty.ZMW,KWACHA ZAMBIJSKA
TKodWaluty.ZWL,DOLAR ZIMBABWE
TFormaPlatnosci.1,Gotówka
TFormaPlatnosci.2,Karta
TFormaPlatnosci.3,Bon
TFormaPlatnosci.4,Czek
TFormaPlatnosci.5,Kredyt
TFormaPlatnosci.6,Przelew
TFormaPlatnosci.7,Mobilna
TLadunek.1,Bańka
TLadunek.2,Beczka
TLadunek.3,Butla
TLadunek.4,Karton
TLadunek.5,Kanister
TLadunek.6,Klatka
TLadunek.7,Kontener
TLadunek.8,Kosz/koszyk
TLadunek.9,Łubianka
TLadunek.10,Opakowanie zbiorcze
TLadunek.11,Paczka
TLadunek.12,Pakiet
TLadunek.13,Paleta
TLadunek.14,Pojemnik
TLadunek.15,Pojemnik do ładunków masowych stałych
TLadunek.16,Pojemnik do ładunków masowych w postaci płynnej
TLadunek.17,Pudełko
TLadunek.18,Puszka
TLadunek.19,Skrzynia
TLadunek.20,Worek
TRachunekWlasnyBanku.1,Rachunek banku lub rachunek spółdzielczej kasy oszczędnościowo-kredytowej służący do dokonywania rozliczeń z tytułu nabywanych przez ten bank lub tę kasę wierzytelności pieniężnych
TRachunekWlasnyBanku.2,"Rachunek banku lub rachunek spółdzielczej kasy oszczędnościowo-kredytowej wykorzystywany przez ten bank lub tę kasę do pobrania należności od nabywcy towarów lub usługobiorcy za dostawę towarów lub świadczenie usług, potwierdzone fakturą, i przekazania jej w całości albo części dostawcy towarów lub usługodawcy"
TRachunekWlasnyBanku.3,"Rachunek banku lub rachunek spółdzielczej kasy oszczędnościowo-kredytowej prowadzony przez ten bank lub tę kasę w ramach gospodarki własnej, niebędący rachunkiem rozliczeniowym"
TStatusInfoPodatnika.1,Podatnik znajdujący się w stanie likwidacji
TStatusInfoPodatnika.2,"Podatnik, który jest w trakcie postępowania restrukturyzacyjnego"
TStatusInfoPodatnika.3,Podatnik znajdujący się w stanie upadłości
TStatusInfoPodatnika.4,Przedsiębiorstwo w spadku
TRolaPodmiotuUpowaznionego.1,"Organ egzekucyjny - w przypadku, o którym mowa w art. 106c pkt 1 ustawy"
TRolaPodmiotuUpowaznionego.2,"Komornik sądowy - w przypadku, o którym mowa w art. 106c pkt 2 ustawy"
TRolaPodmiotuUpowaznionego.3,"Przedstawiciel podatkowy - w przypadku, gdy na fakturze występują dane przedstawiciela podatkowego, o którym mowa w przepisach art. 18a - 18d ustawy"
TRolaPodmiotu3.1,"Faktor - w przypadku, gdy na fakturze występują dane faktora"
TRolaPodmiotu3.2,"Odbiorca - w przypadku, gdy na fakturze występują dane jednostek wewnętrznych, oddziałów, wyodrębnionych w ramach nabywcy, które same nie stanowią nabywcy w rozumieniu ustawy"
TRolaPodmiotu3.3,"Podmiot pierwotny - w przypadku, gdy na fakturze występują dane podmiotu będącego w stosunku do podatnika podmiotem przejętym lub przekształconym, który świadczył usługę lub dokonywał dostawy. Z wyłączeniem przypadków, o których mowa w art. 106j ust.2 pkt 3 ustawy, gdy dane te wykazywane są w części Podmiot1K"
TRolaPodmiotu3.4,"Dodatkowy nabywca - w przypadku, gdy na fakturze występują dane kolejnych (innych niż wymieniony w części Podmiot2) nabywców"
TRolaPodmiotu3.5,"Wystawca faktury - w przypadku, gdy na fakturze występują dane podmiotu wystawiającego fakturę w imieniu podatnika. Nie dotyczy przypadku, gdy wystawcą faktury jest nabywca"
TRolaPodmiotu3.6,"Dokonujący płatności - w przypadku, gdy na fakturze występują dane podmiotu regulującego zobowiązanie w miejsce nabywcy"
TRolaPodmiotu3.7,Jednostka samorządu terytorialnego - wystawca
TRolaPodmiotu3.8,Jednostka samorządu terytorialnego - odbiorca
TRolaPodmiotu3.9,Członek grupy VAT - wystawca
TRolaPodmiotu3.10,Członek grupy VAT - odbiorca
TRodzajFaktury.VAT,Faktura podstawowa
TRodzajFaktury.KOR,Faktura korygująca
TRodzajFaktury.ZAL,Faktura dokumentująca otrzymanie zapłaty lub jej części przed dokonaniem czynności oraz faktura wystawiona w związku z art. 106f ust. 4 ustawy
TRodzajFaktury.ROZ,Faktura wystawiona w związku z art. 106f ust. 3 ustawy
TRodzajFaktury.UPR,"Faktura, o której mowa w art. 106e ust. 5 pkt 3 ustawy"
TRodzajFaktury.KOR_ZAL,Faktura korygująca fakturę dokumentującą otrzymanie zapłaty lub jej części przed dokonaniem czynności oraz fakturę wystawioną w związku z art. 106f ust. 4 ustawy
TRodzajFaktury.KOR_ROZ,Faktura korygująca fakturę wystawioną w związku z art. 106f ust. 3 ustawy
TTypKorekty.1,Korekta skutkująca w dacie ujęcia faktury pierwotnej
TTypKorekty.2,Korekta skutkująca w dacie wystawienia faktury korygującej
TTypKorekty.3,"Korekta skutkująca w dacie innej, w tym gdy dla różnych pozycji faktury korygującej daty te są różne"
TStawkaPodatku.zw,zwolnione od podatku
TStawkaPodatku.oo,odwrotne obciążenie
TStawkaPodatku.np,niepodlegające opodatkowaniu- dostawy towarów oraz świadczenia usług poza terytorium kraju
TOznaczenieProcedury.WSTO_EE,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 2a rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProcedury.IED,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 2b rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProcedury.TT_D,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 5 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProcedury.I_42,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 8 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProcedury.I_63,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 9 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProcedury.B_SPV,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 10 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProcedury.B_SPV_DOSTAWA,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 11 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProcedury.B_MPV_PROWIZJA,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 12 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProceduryZ.WSTO_EE,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 2a rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProceduryZ.IED,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 2b rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProceduryZ.TT_D,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 5 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProceduryZ.B_SPV,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 10 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProceduryZ.B_SPV_DOSTAWA,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 11 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TOznaczenieProceduryZ.B_MPV_PROWIZJA,"Oznaczenie dotyczące procedury, o której mowa w § 10 ust. 4 pkt 12 rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_01,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. a rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_02,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. b rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_03,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. c rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_04,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. d rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_05,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. e rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_06,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. f rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_07,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. g rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_08,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. h rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_09,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. i rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_10,"Dostawa towarów, o których mowa w § 10 ust. 3 pkt 1 lit. j rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_11,"Świadczenie usług, o których mowa w § 10 ust. 3 pkt 2 lit. a rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_12,"Świadczenie usług, o których mowa w § 10 ust. 3 pkt 2 lit. b rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TGTU.GTU_13,"Świadczenie usług, o których mowa w § 10 ust. 3 pkt 2 lit. c rozporządzenia w sprawie szczegółowego zakresu danych zawartych w deklaracjach podatkowych i w ewidencji w zakresie podatku od towarów i usług"
TRodzajTransportu.1,Transport morski
TRodzajTransportu.2,Transport kolejowy
TRodzajTransportu.3,Transport drogowy
TRodzajTransportu.4,Transport lotniczy
TRodzajTransportu.5,Przesyłka pocztowa
TRodzajTransportu.7,Stałe instalacje przesyłowe
TRodzajTransportu.8,Żegluga śródlądowa
